,Medicines,Uses
63,Chaparral,"Traditional/Ethnobotanical usesChaparral tea has been suggested for the treatment of bronchitis and the common cold. It also was used to alleviate rheumatic pain, stomach pain, chicken pox, and snake bite pain. American Indians used chaparral for arthritis, bowel cramps, gas, colds, and chronic skin disorders. Chaparral has been used internally to treat stomach problems, menstrual disorders, premenstrual syndrome, diabetes, gall bladder and kidney stones, diarrhea, urinary tract infections, and upper respiratory tract infections. Skin application has been promoted for rheumatic and autoimmune conditions, arthritis, back pain, minor wounds, and skin infections, such as impetigo and gingivitis. Chaparral has also been used as a deodorant applied to the feet and armpits. A strong tea from the leaves has been mixed with oil as a burn salve. It is an ingredient in some nonprescription weight loss teas.In 1943, chaparral was approved by the Meat Inspection Division of the US War Food Administration as a food antioxidant. It was used as a fat and butter preservative until better preservatives were introduced; it was then removed from the FDA's GRAS (generally recognized as safe) list.In 1959, the National Cancer Institute received reports that several cancer patients claimed beneficial effects from drinking chaparral tea. Years later, a similar treatment was brought to the attention of physicians at the University of Utah.Reports subsequently appeared in the lay literature describing the virtues of chaparral tea as a cancer treatment.General usesChaparral has been primarily used for the treatment of cancer, acne, rheumatism, and diabetes. It has also been promoted for its antioxidant effects, and as a blood purifier and a weight loss agent. Clinical trials have not supported these uses."
64,Chaste Tree,"
Chaste tree is used by some women to help with problems related to hormone imbalances. Some women use it to help with signs of premenstrual syndrome like bloating, breast pain, or low mood."
65,Chickweed,"Traditional/Ethnobotanical usesChickweed has been used as a folk remedy for centuries for many conditions, including asthma, blood disorders, conjunctivitis, constipation, inflammation, dyspepsia, skin ailments, and obesity. Chickweed extract has been used internally as a demulcent, but is more typically used externally for the treatment of rashes and sores. The young shoots are edible and have been used as salad greens. In homeopathy, the plant is used to relieve rheumatic pains and psoriasis. Chickweed is noted as a folk remedy for many conditions, including asthma, blood disorders, conjunctivitis, constipation, inflammation, dyspepsia, skin ailments, and obesity.There is no indication that any of the plant's constituents possess therapeutic activity. Its vitamin content is too low to be of therapeutic value. A review of clinical research suggests that the plant is not actively under investigation, as there are no new pharmacological data to report."
66,Chicory,"Traditional/Ethnobotanical usesIn cultivation, chicory roots are ""forced"" during the fall and winter to produce 2 types of leaves used as greens: Barbe de capucin and witloof (or French endive). The leaves of young plants are used as potherbs, which are cooked like spinach. Leaves of older plants, when blanched, are used like celery. Chicory roots are boiled and eaten with butter, and roasted roots are ground and brewed to add a bitter, mellow taste to coffee and tea or used as a substitute for coffee. In Indian texts, whole plant chicory is used as a heart, digestive, stomach, and liver tonic, as well as a diuretic and anti-inflammatory agent. Use of chicory for stomach problems and as an appetite stimulant is recognized by the German Commission E.General usesChicory leaves and roots are used as a vegetable. Roasted roots are ground and brewed as a hot beverage. Use of chicory for stomach problems and as an appetite stimulant is recognized by the German E Commission; however, clinical studies are lacking to support this or any other use. Chicory-derived inulin (a naturally occurring polysaccharide) has been investigated for its potential as a prebiotic and laxative; efficacy of chicory extract has been studied in osteoarthritis."
67,Chinese Cucumber,"Traditional/Ethnobotanical usesThe Chinese cucumber has a long history in traditional Chinese medicine and has been used to reduce fevers, swelling and coughing. A starch extracted from the root is used for abscesses, menstrual problems, jaundice, and abnormally large amount of urine production. Modern Chinese medicinal uses include the management of diabetes and to induce abortion. The plant has been used for centuries in the treatment of tumors.Other usesLaboratory studies have shown that Chinese cucumber inhibits replication of the HIV virus. Trichosanthin was reported to have been used to treat malignant tumors of the uterus and cervical cancer, but clinical studies are lacking. However, there is limited clinical evidence to support these uses."
68,Chitosan,"
Chitosan is used by some people with kidney problems to help lower cholesterol levels. Some people use it to help with kidney disease problems. Some people use chitosan to help prevent gum infections in the mouth. It may also be used on the skin to help stop bleeding."
69,Chlorophyll,"
Chlorophyll is used by some people to absorb and reduce odors. Others may use it to help with hard stools. Chlorophyll has also been used to help with healing wounds and to reduce inflammation."
70,Chondroitin,"
Chondroitin is used by some people to help with arthritis. It may also be used with another natural product called glucosamine. It is thought that chondroitin may help keep cartilage strong and healthy. It may also be used to help dry eyes."
71,Chromium,"
Chromium is used by some people as a medicine. Science does not support the use of this product for any health problem."
72,Cinnamon,"
Cinnamon is a spice that is used by some people as medicine. Science does not support the use of this product for any health problem."
